cadence,metric,n_events,n_success,efficiency,z_lo,z_hi,sigma
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,31132,100,0.0032121289991006,3.8,3.9,0.0003206965963328141
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,31132,0,0.0,3.8,3.9,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,31132,7,0.000224849029937,3.8,3.9,8.497539017841461e-05
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,31132,0,0.0,3.8,3.9,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,31132,0,0.0,3.8,3.9,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,31132,131,0.0042078889888217,3.8,3.9,0.00036687064792318276
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,31132,0,0.0,3.8,3.9,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,29233,0,0.0,3.9,4.0,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,29233,0,0.0,3.9,4.0,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,29233,0,0.0,3.9,4.0,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,29233,78,0.0026682174255122,3.9,4.0,0.0003017128063187683
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,29233,0,0.0,3.9,4.0,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,29233,0,0.0,3.9,4.0,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,29233,0,0.0,3.9,4.0,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,29233,0,0.0,3.9,4.0,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,29233,106,0.0036260390654397,3.9,4.0,0.0003515529371128033
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,29233,0,0.0,3.9,4.0,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,27277,0,0.0,4.0,4.1,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,27277,0,0.0,4.0,4.1,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,27277,0,0.0,4.0,4.1,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,27277,60,0.0021996553873226,4.0,4.1,0.00028366179468896193
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,27277,0,0.0,4.0,4.1,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,27277,0,0.0,4.0,4.1,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,27277,0,0.0,4.0,4.1,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,27277,0,0.0,4.0,4.1,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,27277,56,0.0020530116948344,4.0,4.1,0.0002740634659414367
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,27277,0,0.0,4.0,4.1,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,26106,0,0.0,4.1,4.2,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,26106,0,0.0,4.1,4.2,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,26106,0,0.0,4.1,4.2,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,26106,43,0.001647130927756,4.1,4.2,0.0002509781589957872
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,26106,0,0.0,4.1,4.2,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,26106,0,0.0,4.1,4.2,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,26106,0,0.0,4.1,4.2,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,26106,0,0.0,4.1,4.2,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,26106,50,0.0019152685206465,4.1,4.2,0.0002706003627386141
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,26106,0,0.0,4.1,4.2,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,24195,0,0.0,4.2,4.3,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,24195,0,0.0,4.2,4.3,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,24195,0,0.0,4.2,4.3,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,24195,22,0.0009092787766067,4.2,4.3,0.00019377073060977552
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,24195,0,0.0,4.2,4.3,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,24195,0,0.0,4.2,4.3,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,24195,0,0.0,4.2,4.3,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,24195,0,0.0,4.2,4.3,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,24195,34,0.0014052490183922,4.2,4.3,0.0002408288276422452
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,24195,0,0.0,4.2,4.3,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,22695,0,0.0,4.3,4.4,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,22695,0,0.0,4.3,4.4,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,22695,0,0.0,4.3,4.4,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,22695,6,0.0002643754130865,4.3,4.4,0.0001079165423638676
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,22695,0,0.0,4.3,4.4,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,22695,0,0.0,4.3,4.4,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,22695,0,0.0,4.3,4.4,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,22695,0,0.0,4.3,4.4,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,22695,19,0.0008371888081075,4.3,4.4,0.00019198387093144676
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,22695,0,0.0,4.3,4.4,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,21172,0,0.0,4.4,4.5,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,21172,0,0.0,4.4,4.5,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,21172,0,0.0,4.4,4.5,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,21172,3,0.0001416965803891,4.4,4.5,8.180276262907404e-05
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,21172,0,0.0,4.4,4.5,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,21172,0,0.0,4.4,4.5,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,21172,0,0.0,4.4,4.5,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,21172,0,0.0,4.4,4.5,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,21172,8,0.0003778575477045,4.4,4.5,0.00013356757524036133
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,21172,0,0.0,4.4,4.5,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,19970,0,0.0,4.5,4.6,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,19970,0,0.0,4.5,4.6,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,19970,0,0.0,4.5,4.6,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,19970,5,0.000250375563345,4.5,4.6,0.00011195733758567544
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,19970,0,0.0,4.5,4.6,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,19970,0,0.0,4.5,4.6,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,19970,0,0.0,4.5,4.6,0.0
